,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Type,quality
2732,7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,White Wine,6
2607,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,White Wine,6
1653,4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,White Wine,6
3264,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,White Wine,6
4931,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,White Wine,5
4859,8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,White Wine,6
5827,7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,White Wine,6
1033,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,White Wine,7
4373,6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,White Wine,7
5874,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,White Wine,6
5924,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,Red Wine,6
3468,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,White Wine,6
6458,6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,White Wine,4
705,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,Red Wine,5
2599,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,Red Wine,7
2135,6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,White Wine,7
2222,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,Red Wine,6
2897,7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,White Wine,5
1701,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,Red Wine,5
537,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,White Wine,5
2893,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,White Wine,7
6216,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,White Wine,6
6036,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,Red Wine,5
2163,7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,White Wine,6
5072,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,White Wine,5
4851,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,Red Wine,6
2046,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,Red Wine,5
1871,7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,Red Wine,5
2496,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,White Wine,7
99,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,White Wine,6
2008,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,White Wine,8
755,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,Red Wine,6
797,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,White Wine,7
659,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,White Wine,8
3219,7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,White Wine,6
423,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,Red Wine,6
3337,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,White Wine,6
2745,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,Red Wine,6
4735,9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,Red Wine,6
544,5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,White Wine,6
714,6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3,0.37,12.3,White Wine,6
2292,7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,White Wine,5
151,6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,White Wine,5
2723,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,Red Wine,6
3531,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,White Wine,5
2930,6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,White Wine,6
1207,8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,White Wine,7
6172,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,White Wine,5
802,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,Red Wine,6
2176,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,White Wine,6
2176,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,White Wine,6
1956,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,White Wine,5
6021,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,Red Wine,6
