A,B,C,D,E,F,G
-7.65384199,-5.89733361,-3.543706685,-0.215846858,5.401388843,-5.630704031,-1.745586383
-6.086820256,-3.324797143,-2.72005378,-1.615148538,5.682705139,-5.584184755,-1.16894513
-6.302664885,-2.517686481,-4.449976592,-0.852940467,6.19316689,-5.710855222,1.294015873
-6.597866678,-6.897919531,-5.246504582,0.275384885,-1.657027167,-5.436061312,2.883138832
6.991250214,1.409749333,3.699706515,-10.89231329,10.52463076,8.250845471,-4.77521481
-0.871985978,7.582931281,3.354279722,0.357323213,-6.506979005,-6.713616466,-7.295591389
-7.544464274,-8.170017368,-4.37392197,0.110906018,-0.57354622,-4.158502979,1.74672945
-5.608806906,-5.612995966,-5.095179055,-1.350265693,-0.540117535,-5.258963388,0.57287494
-6.614384835,-6.094051869,-3.431174979,0.619287236,-2.202972978,-4.599358496,2.970965776
-3.511414642,8.261850891,3.173093646,1.471767537,-5.904314733,-6.364481505,-7.859905645
-6.050919595,-4.469009003,-2.41560019,-0.534756088,5.949245512,-4.724634109,1.088463091
8.132781544,3.25462884,2.635789147,-10.18528214,10.21834064,6.181114132,-6.551423863
-2.333661393,7.170492545,3.749560988,1.90909192,-6.343336282,-9.076237414,-9.000451732
6.3947866,1.271399869,4.683046716,-8.436096451,7.924990413,7.00081389,-6.929915972
-1.627790094,9.735421491,3.723604736,3.328612485,-5.709428482,-6.745813096,-8.758729894
-7.353680296,-4.591806889,-3.167920782,-2.864946061,6.466722847,-7.01315443,2.143098174
-3.448533017,8.870198572,3.430184093,2.573098414,-5.348876359,-5.661347742,-9.051770628
-3.605417948,8.946414746,5.071510466,2.712845152,-4.307631874,-9.129542047,-8.229592168
7.936983081,1.989796342,4.99194969,-10.49410733,7.618758118,6.115848734,-6.519570396
7.915625899,2.645311264,4.697105607,-10.69039468,9.765726091,5.323991512,-5.927580623
-5.405465387,-6.284789531,-5.314528187,-1.584568403,-2.89050735,-3.815651492,2.268827607
-7.148340964,-4.027195357,-2.612521103,-1.982464506,5.551308277,-5.741575756,0.381977497
-6.397801596,-4.563269293,-2.989284148,-1.505540951,5.230701832,-4.603490929,1.947187534
4.987592218,2.451339802,4.039714302,-9.924513851,9.617955127,5.215288893,-3.82394779
-3.025627267,8.817819545,4.434019405,1.226591337,-7.056401354,-8.428727892,-9.329481504
7.141861988,1.774907295,5.328647539,-10.07890586,9.975117454,6.300424866,-3.813061155
7.665973795,0.744929101,5.072358591,-9.662294896,8.988876829,5.425107969,-8.230723905
-9.47293275,-5.415253757,-2.581642105,-1.885333378,7.742721273,-5.40864467,1.250520415
-3.257293688,7.046961064,4.618634057,2.266707214,-6.630209503,-7.206782841,-8.713575657
-3.580265514,-5.281966203,-3.865493785,0.383211947,-0.410042765,-3.176555036,-0.674492025
-7.804315057,-4.316193694,-1.909930492,-1.036684944,5.907665832,-5.471309209,-0.145987624
8.283030973,2.780034349,2.871284141,-8.925316412,9.774523001,7.255277544,-5.2606083
-7.432142937,-4.647506282,-1.252366703,0.63484466,5.289139462,-7.716292164,-1.872795061
7.177042245,3.028711275,3.103614937,-9.327543297,8.819984945,6.943993795,-5.817990046
-7.878235187,-4.720323415,-1.856988781,-0.162717856,5.697655725,-4.980227772,1.078132064
-1.982299699,8.823413909,4.44168316,2.483327153,-5.607057028,-6.753795394,-9.307458611
-5.702315181,-6.90073839,-4.839563709,-1.585153985,-2.15627464,-3.128240541,2.180972168
-1.956292394,8.077694122,5.746110395,2.173868378,-6.62237377,-7.224586802,-9.587743744
-4.115774724,10.76387003,6.021332915,0.680906989,-6.189919386,-7.383084364,-8.574840541
-3.261166955,8.695232193,3.843852979,3.049176823,-6.858315542,-4.978918908,-8.89898857
6.469956631,2.286119321,4.402527635,-9.775384384,10.23059758,6.420492023,-5.521676718
7.183344986,3.194575194,4.06819089,-9.993321186,9.52761872,6.295732636,-5.722368294
5.5044719,3.890827423,2.767633908,-9.404190716,9.467282236,3.838224499,-6.02053481
7.184726515,-0.20446129,4.123564855,-8.767342975,9.362439399,6.364713261,-5.22564967
-0.517644321,8.182224823,4.089763553,1.826144261,-6.038892709,-6.672307086,-10.1309531
-7.912841424,-3.580597077,-2.524321155,-0.585240673,5.343232622,-4.455725742,2.893154217
-9.208744312,-2.48879591,-2.19425866,-0.334343466,7.19316707,-7.658259301,-0.073912447
-3.369954425,9.548493991,3.913136931,3.014123858,-8.1448856,-6.399522835,-9.711316724
5.346701347,1.527085137,3.857106685,-9.901239081,10.0167534,8.634529227,-5.629688585
-4.703580093,10.61375707,5.343021378,2.506377002,-6.714223531,-8.262127162,-9.321944896
-5.808606474,-3.728291142,-2.502656655,-2.397233365,5.073324584,-6.287280165,-0.567642843
-4.383552288,-6.145747847,-3.830814109,1.344584888,-3.226939382,-4.146948256,3.21609372
-2.166271246,10.25775526,3.860503511,1.321281101,-7.188587206,-8.984692392,-8.700249348
-7.381631946,-2.990767318,-1.763633782,0.337693569,5.11273865,-5.222236231,-0.778281629
8.121613964,0.598132635,6.073057623,-10.22947504,9.133132046,5.746198456,-3.05488895
-6.645007217,-6.743965458,-3.176547075,1.413491748,-0.803360798,-4.283400663,2.377237925
-7.888993003,-4.719328856,-1.829693833,-0.408915835,6.50197065,-5.669649666,-0.588567909
-2.331496622,7.678941769,5.020076687,2.583755429,-6.319836743,-5.799328868,-8.004405602
-7.647189274,-2.933186828,-0.12092304,-1.271213048,6.183452039,-5.608113533,0.423384195
7.389664031,1.997469921,4.574092917,-10.01814294,8.911611374,8.028976106,-5.193862377
-9.246701086,-4.105363681,-1.023977168,-1.017157732,5.342183841,-6.030892199,2.46389388
-7.422135679,-5.295257674,-2.665545988,-0.118524203,6.495046965,-5.461348181,-0.333742399
6.760313181,1.320342937,4.546664208,-8.467624408,9.264918328,6.854339244,-5.638909033
9.124568112,2.354646606,4.820853346,-9.28730888,9.971964804,6.72693053,-5.482296444
-6.59020674,-5.528572786,-2.385307874,-1.839360313,4.922752358,-5.605882768,2.458171598
-3.315574552,9.089981068,5.325468583,1.831521098,-5.713256645,-6.349133931,-11.01653908
-7.436687063,-5.230286417,-4.511393033,-0.145396643,6.355121483,-5.763203665,-0.211217423
-6.609238338,-3.844148904,-3.663590784,-0.894558946,6.509996458,-8.109573874,-0.988800248
7.888770039,3.536547835,1.802987414,-8.309436349,9.453593955,7.083901188,-6.581621008
-6.059808062,-4.745712538,-3.956834919,-1.259629786,-0.714229162,-2.037361984,2.949441239
-5.8844236,-7.50408285,-2.947125534,2.833951574,-0.52626389,-4.338251236,1.920512191
