Date,Price,Open,High,Low,Vol.,Change %
10-04-2023,"43,964.05","44,108.15","44,161.35","43,857.50",310.34M,-0.98%
10-03-2023,"44,399.05","44,561.50","44,566.30","44,243.10",192.65M,-0.42%
09/29/2023,"44,584.55","44,445.35","44,755.05","44,344.90",155.98M,0.64%
09/28/2023,"44,300.95","44,700.35","44,756.80","44,248.20",389.94M,-0.64%
09/27/2023,"44,588.30","44,465.90","44,668.00","44,182.50",221.85M,-0.08%
09/26/2023,"44,624.20","44,722.50","44,773.80","44,532.45",188.45M,-0.32%
09/25/2023,"44,766.10","44,615.00","44,936.55","44,400.90",266.51M,0.35%
09/22/2023,"44,612.05","44,707.35","44,996.75","44,548.90",249.38M,-0.03%
09/21/2023,"44,623.85","45,179.60","45,276.80","44,592.45",257.74M,-1.68%
09/20/2023,"45,384.60","45,493.70","45,745.15","45,276.40",334.01M,-1.29%
09/18/2023,"45,979.85","46,100.95","46,252.95","45,906.90",348.76M,-0.54%
09/15/2023,"46,231.50","46,122.15","46,310.40","46,028.75",278.35M,0.50%
09/14/2023,"46,000.85","46,013.30","46,153.90","45,801.50",238.57M,0.20%
09/13/2023,"45,909.45","45,449.35","45,990.50","45,299.40",441.73M,0.87%
09-12-2023,"45,511.35","45,893.80","45,893.80","45,322.55",271.36M,-0.13%
09-11-2023,"45,570.70","45,340.80","45,636.20","45,231.30",228.14M,0.92%
09-08-2023,"45,156.40","44,953.65","45,383.35","44,812.15",179.08M,0.62%
09-07-2023,"44,878.35","44,418.05","44,915.55","44,341.20",169.14M,1.06%
09-06-2023,"44,409.10","44,494.65","44,577.00","44,207.25",252.04M,-0.28%
09-05-2023,"44,532.15","44,625.05","44,668.70","44,401.70",225.50M,-0.10%
09-04-2023,"44,578.30","44,647.65","44,656.05","44,310.95",238.63M,0.32%
09-01-2023,"44,436.10","43,996.10","44,568.55","43,830.75",320.78M,1.02%
08/31/2023,"43,989.15","44,265.85","44,399.65","43,895.05",705.08M,-0.55%
08/30/2023,"44,232.60","44,706.55","44,779.65","44,149.80",153.15M,-0.59%
08/29/2023,"44,495.25","44,655.75","44,673.00","44,429.80",140.26M,0.00%
08/28/2023,"44,494.65","44,253.65","44,610.40","44,201.45",162.97M,0.60%
08/25/2023,"44,231.45","44,276.20","44,359.10","43,983.75",152.51M,-0.59%
08/24/2023,"44,496.20","44,704.20","44,949.90","44,433.75",220.42M,0.04%
08/23/2023,"44,479.05","44,064.50","44,521.65","43,952.05",212.38M,1.10%
08/22/2023,"43,993.25","44,125.00","44,151.30","43,938.70",160.75M,-0.02%
08/21/2023,"44,002.00","43,952.85","44,113.80","43,862.00",126.31M,0.34%
08/18/2023,"43,851.05","43,724.75","43,957.65","43,672.45",167.58M,-0.09%
08/17/2023,"43,891.35","43,897.25","44,071.85","43,745.10",266.37M,-0.13%
08/16/2023,"43,946.40","43,726.25","44,002.80","43,600.35",159.01M,-0.33%
08/14/2023,"44,090.95","44,066.60","44,212.75","43,776.90",172.32M,-0.24%
08-11-2023,"44,199.10","44,568.15","44,571.25","44,120.90",196.90M,-0.77%
