('10-2023', 43.5)
('9-2023', 44.5)
('8-2023', 43.81818181818182)
('7-2023', 44.857142857142854)
('6-2023', 43.333333333333336)
('5-2023', 43.18181818181818)
('4-2023', 41.588235294117645)
('3-2023', 39.57142857142857)
('2-2023', 40.45)
('1-2023', 41.76190476190476)
('12-2022', 42.68181818181818)
('11-2022', 41.857142857142854)
('10-2022', 39.526315789473685)
('9-2022', 39.36363636363637)
('8-2022', 38.1)
('7-2022', 34.904761904761905)
('6-2022', 33.40909090909091)
('5-2022', 34.19047619047619)
('4-2022', 36.578947368421055)
('3-2022', 34.76190476190476)
('2-2022', 37.35)
('1-2022', 37.25)
('12-2021', 35.47826086956522)
('11-2021', 37.7)
('10-2021', 38.6)
('9-2021', 36.523809523809526)
('8-2021', 35.285714285714285)
('7-2021', 34.57142857142857)
('6-2021', 34.59090909090909)
('5-2021', 33.1)
('4-2021', 31.736842105263158)
('3-2021', 34.19047619047619)
('2-2021', 35.25)
('1-2021', 31.25)
('12-2020', 29.863636363636363)
('11-2020', 27.65)
('10-2020', 23.238095238095237)
('9-2020', 21.727272727272727)
('8-2020', 21.857142857142858)
('7-2020', 21.608695652173914)
('6-2020', 20.454545454545453)
('5-2020', 18.157894736842106)
('4-2020', 19.27777777777778)
('3-2020', 22.428571428571427)
('2-2020', 30.25)
('1-2020', 31.0)
('12-2019', 31.476190476190474)
('11-2019', 30.6)
('10-2019', 28.4)
('9-2019', 27.736842105263158)
('8-2019', 27.4)
('7-2019', 29.695652173913043)
('6-2019', 30.42105263157895)
('5-2019', 29.454545454545453)
('4-2019', 29.473684210526315)
('3-2019', 28.36842105263158)
('2-2019', 26.5)
('1-2019', 26.82608695652174)
('12-2018', 26.3)
('11-2018', 25.5)
('10-2018', 24.523809523809526)
('9-2018', 26.0)
('8-2018', 27.61904761904762)
('7-2018', 26.363636363636363)
('6-2018', 26.0)
('5-2018', 25.636363636363637)
('4-2018', 24.61904761904762)
('3-2018', 23.94736842105263)
('2-2018', 25.05263157894737)
('1-2018', 25.818181818181817)
('12-2017', 24.95)
('11-2017', 25.0)
('10-2017', 24.15)
('9-2017', 24.047619047619047)
('8-2017', 23.952380952380953)
('7-2017', 23.571428571428573)
('6-2017', 23.0)
('5-2017', 22.227272727272727)
('4-2017', 21.22222222222222)
('3-2017', 20.545454545454547)
('2-2017', 20.0)
('1-2017', 18.333333333333332)
('12-2016', 17.772727272727273)
('11-2016', 18.61904761904762)
('10-2016', 18.94736842105263)
('9-2016', 19.25)
('8-2016', 18.545454545454547)
('7-2016', 18.05)
('6-2016', 17.0)
('5-2016', 16.181818181818183)
('4-2016', 15.722222222222221)
('3-2016', 15.05)
('2-2016', 13.952380952380953)
('1-2016', 15.35)
('12-2015', 16.136363636363637)
('11-2015', 16.68421052631579)
('10-2015', 17.0)
('9-2015', 16.35)
('8-2015', 17.666666666666668)
('7-2015', 18.130434782608695)
('6-2015', 17.363636363636363)
('5-2015', 17.8)
('4-2015', 17.94736842105263)
('3-2015', 18.476190476190474)
('2-2015', 18.6)
('1-2015', 18.80952380952381)
('12-2014', 17.90909090909091)
('11-2014', 17.27777777777778)
('10-2014', 15.555555555555555)
('9-2014', 15.590909090909092)
('8-2014', 14.789473684210526)
('7-2014', 14.727272727272727)
('6-2014', 14.904761904761905)
('5-2014', 13.904761904761905)
('4-2014', 12.166666666666666)
('3-2014', 11.666666666666666)
('2-2014', 10.0)
('1-2014', 10.565217391304348)
('12-2013', 11.047619047619047)
('11-2013', 10.45)
('10-2013', 10.157894736842104)
